ads_id,ads_startdate,ads_enddate,ads_price,supplier_id,product_id
AD571981769,18/03/21,09/10/23,2452.32,SUP163462750,P51502320
AD956193364,14/01/22,04/11/23,386.58,SUP106937126,P98733463
AD708144936,09/10/22,22/05/23,585.77,SUP200579943,P71694575
AD625899519,05/01/21,25/09/23,944.61,SUP135411427,P32532492
AD518232665,11/02/21,19/05/23,686.81,SUP292038086,P83352663
AD358950845,01/08/21,01/06/23,272.86,SUP714146417,P19675735
AD211692131,27/03/22,27/01/24,1356.24,SUP185486546,P56907959
AD906118031,22/02/22,02/12/23,185.2,SUP840587209,P31449565
AD965251479,18/12/22,02/07/23,1724.05,SUP828561200,P75853556
AD381970732,11/08/22,07/11/23,2195.42,SUP151805265,P16422655
AD528153200,01/04/22,12/01/23,807.43,SUP840378313,P31833418
AD955929889,17/07/21,06/01/24,2034.58,SUP892567108,P38345562
AD279229471,25/04/21,01/07/23,907.62,SUP926577248,P48296294
AD285839147,22/09/22,11/05/23,1043.04,SUP191864249,P19197874
AD554219355,20/08/22,05/02/24,2626.95,SUP121271196,P77561744
AD138473580,27/10/22,10/06/23,2339.66,SUP840378313,P89142641
AD278540423,16/06/21,23/06/23,2182.03,SUP293268870,P83352663
AD225610873,19/04/21,03/01/23,1003.46,SUP853255224,P21268228
AD090840362,26/02/21,01/08/23,1261.75,SUP840587209,P13981213
AD867434847,24/03/22,21/07/23,538.83,SUP159407557,P85487175
AD706954906,03/04/21,09/12/23,1972.28,SUP173547559,P39199819
AD318350850,04/04/21,25/01/24,828.55,SUP206423067,P13972659
AD652397608,09/03/22,25/02/24,649.73,SUP214873042,P34139616
AD086887908,28/05/22,17/06/23,1263.5,SUP131406229,P81111129
AD313269241,07/02/22,17/12/23,1917.38,SUP131299122,P61269087
AD030682015,28/09/21,15/11/23,2877.02,SUP287888056,P14671093
AD344383726,13/02/22,24/05/23,2973.81,SUP232333075,P63431602
AD905937659,27/10/21,08/01/23,18.44,SUP840378313,P46637021
AD525465448,16/05/21,31/03/23,415.41,SUP202756351,P47241676
AD073797411,01/02/21,06/05/23,334.09,SUP576154144,P47241676
AD196677867,18/06/21,19/09/23,88.83,SUP132254606,P28441437
AD931843582,12/12/22,22/01/23,2662.66,SUP151805265,P45586681
AD215715161,23/08/22,31/10/23,2634.63,SUP136871057,P78367641
AD809982663,26/02/22,18/06/23,1403.1,SUP288993955,P82906066
AD493077497,29/03/21,09/06/23,2259.8,SUP303200139,P93426015
AD396788843,10/01/22,12/08/23,1209.2,SUP122284583,P65451355
AD572571934,19/07/21,12/08/23,1458.15,SUP232115291,P79519988
AD260312391,01/01/21,17/04/23,1855.73,SUP160985008,P63203803
AD978976988,20/05/22,29/05/23,1739.68,SUP267200255,P22254190
AD047683466,07/10/22,27/10/23,2481.87,SUP183296109,P46102483
AD449625364,03/02/21,17/02/23,1936.18,SUP576154144,P70205893
AD579016740,04/09/22,05/03/24,1180.66,SUP334920424,P69461901
AD038973448,08/05/22,06/03/24,1712.55,SUP262728222,P56993765
AD767994740,24/04/21,23/11/23,1488.4,SUP272155500,P94334727
AD235751832,04/10/22,22/02/23,1591.14,SUP290451107,P32527331
AD152656911,01/04/21,19/05/23,1816.39,SUP100395220,P55206620
AD858656902,16/01/21,08/07/23,1668.34,SUP204457471,P59757555
AD852274791,03/06/22,27/02/24,788.4,SUP186921538,P69461901
AD401140007,22/04/21,31/01/24,559.45,SUP284008125,P14671093
AD818583787,24/02/21,31/07/23,867.9,SUP142663161,P74774577
AD789234210,23/04/22,24/10/23,2087.83,SUP228032136,P51373352
AD371509791,16/08/22,06/02/24,1324.74,SUP398474325,P21669181
AD833644800,22/07/21,05/02/23,2800.49,SUP274260887,P37231300
AD534587155,13/08/21,27/12/23,2567.19,SUP290451107,P52784962
AD988776731,08/03/22,11/07/23,2582.7,SUP216261676,P37294983
AD410708448,15/04/21,20/02/24,1294.81,SUP267200255,P69461901
AD424408353,17/11/21,27/08/23,457.29,SUP337535546,P28441437
AD672957615,09/01/22,26/10/23,2198.6,SUP609867193,P92615078
AD269689991,28/05/22,25/02/24,525.65,SUP151690213,P85472117
AD143889687,29/10/22,24/05/23,262.23,SUP155467998,P76573321
AD066059577,11/06/22,12/06/23,2873.7,SUP286527883,P11549408
AD241430975,25/09/22,03/10/23,2703.86,SUP112214886,P73777011
AD895792331,12/05/22,05/07/23,612.33,SUP609867193,P30382608
AD715937609,13/12/22,25/09/23,2796.78,SUP201639405,P96677758
AD333318356,25/02/22,06/02/24,996.11,SUP274260887,P82906066
AD177939330,23/11/21,02/01/24,690.41,SUP695839034,P75853556
AD743898581,17/10/22,19/01/23,2368.21,SUP114427716,P11549408
AD608763990,27/10/21,22/07/23,2464.41,SUP191864249,P82284372
AD200778590,30/07/21,18/09/23,1985.61,SUP259593110,P78217241
AD431567195,22/04/22,24/03/23,2285.23,SUP133404992,P23223638
AD757908623,11/07/22,02/11/23,408.55,SUP125198230,P66752896
AD950142503,17/01/22,27/01/23,260.34,SUP159407557,P33926222
AD169126537,12/07/22,13/04/23,2375.01,SUP164456819,P58899446
AD680108028,04/07/22,08/01/23,1003.62,SUP273189001,P38683780
AD872072922,03/12/21,06/02/23,914.98,SUP265977472,P32897218
AD671794039,14/03/22,14/01/24,109.89,SUP141435801,P45199205
AD377689686,22/03/21,22/08/23,481.6,SUP820077324,P93426015
AD124376684,26/01/21,16/09/23,2675.02,SUP135411427,P67314901
AD692838885,24/04/21,15/06/23,2657.74,SUP260762356,P92881101
AD955015517,31/03/22,23/11/23,2201.69,SUP131299122,P37616718
AD833526382,01/02/22,09/05/23,868.58,SUP129209784,P92792924
AD148805586,28/02/22,27/07/23,625.14,SUP151690213,P70557429
AD308589364,09/06/22,12/06/23,2278.08,SUP179344382,P30536604
AD409990624,07/09/21,28/05/23,1244.49,SUP212326627,P49292258
AD182374116,02/11/22,17/08/23,868.08,SUP122284583,P62685206
AD707808916,03/11/21,07/10/23,2687.74,SUP179344382,P92792924
AD095008502,10/10/21,26/02/24,103.29,SUP155078486,P75766182
AD544301412,21/06/22,18/02/24,1335.05,SUP265269126,P82284372
AD511065898,14/07/21,08/06/23,1198.34,SUP102667751,P95393997
AD759009648,20/02/21,03/10/23,963.78,SUP711474158,P14375300
AD537625349,19/07/21,29/09/23,2106.71,SUP609867193,P47789629
AD685607787,28/12/22,26/04/23,89.31,SUP330356313,P33926222
AD614289853,17/09/21,14/05/23,2993.82,SUP100395220,P61269087
AD030342957,05/09/22,04/02/23,846.99,SUP695839034,P75528934
AD142056451,03/11/21,05/11/23,317.04,SUP206423067,P47789629
AD247720238,25/06/22,19/06/23,2699.81,SUP293926685,P61926913
AD366255284,23/02/22,24/06/23,2770.86,SUP892567108,P10593981
AD420233219,26/06/22,20/02/24,635.87,SUP512101375,P34297538
AD826215537,01/12/22,23/01/24,405.65,SUP130095879,P21444532
AD073666913,02/11/21,25/08/23,543.63,SUP114427716,P83389401
