product_id,customer_id,supplier_id,order_details_id,order_transaction_date,order_quantity
P36992527,CUS2807734871,SUP251725474,ORD0854269302,03/11/22,25
P59867097,CUS1503010945,SUP795028826,ORD1804608827,16/01/22,72
P23854089,CUS5434348680,SUP227734170,ORD8526119074,12/02/21,52
P68152097,CUS3774712077,SUP188795951,ORD5223844258,10/12/22,74
P47662918,CUS9540043492,SUP283070800,ORD7937481405,01/09/21,74
P91404938,CUS1237854598,SUP581298570,ORD3774649496,26/04/22,24
P37161903,CUS7737023682,SUP892567108,ORD3713914158,21/11/20,16
P95573042,CUS6127546869,SUP204457471,ORD4284710757,11/09/22,39
P78537269,CUS7625017567,SUP232333075,ORD3539770842,10/12/21,72
P97429604,CUS1184609888,SUP224448032,ORD1642180288,13/02/22,7
P69127521,CUS0319296857,SUP424904370,ORD3808015888,07/07/22,26
P77711784,CUS4723959378,SUP151690213,ORD0447575242,01/04/21,23
P62423978,CUS9864704958,SUP156300936,ORD3483040676,05/08/20,58
P28102025,CUS7852288898,SUP283070800,ORD1323373686,09/10/21,55
P92615078,CUS1505369800,SUP214873042,ORD7119371811,31/03/22,63
P13287051,CUS0571104967,SUP136871057,ORD8232233222,24/01/20,49
P49439033,CUS9022768252,SUP170774484,ORD4753786212,10/12/21,38
P44213668,CUS4516834154,SUP293926685,ORD8880264826,17/03/22,94
P56656400,CUS1503010945,SUP330356313,ORD9666381076,19/11/22,89
P52204796,CUS6230833417,SUP391286527,ORD7404492395,29/04/22,96
P28441437,CUS6553843783,SUP198135621,ORD8232233222,31/01/20,30
P99996011,CUS3213558575,SUP262728222,ORD6636879271,25/06/20,12
P58474530,CUS0657777080,SUP293268870,ORD5148729481,22/07/20,47
P91362711,CUS2447657889,SUP100395220,ORD9860844942,17/04/20,8
P62536520,CUS8533754787,SUP265269126,ORD1804608827,22/07/20,83
P20154366,CUS8833486273,SUP163462750,ORD4284710757,09/06/22,94
P13263309,CUS8430998942,SUP155078486,ORD8880264826,31/10/21,61
P18722193,CUS8607938576,SUP134982297,ORD7909548832,07/02/20,84
P19197874,CUS6529473769,SUP122284583,ORD4410398890,14/12/21,37
