product_id,customer_id,supplier_id,order_id,order_transaction_date,order_quantity
P77923787,CUS0365283169,SUP247151522,ORD6043251425,16/06/22,26
P95476550,CUS5339510921,SUP160985008,ORD1833413207,23/10/22,38
P32855564,CUS2345324414,SUP209531516,ORD1719864118,13/08/21,95
P13287051,CUS8226959888,SUP324870003,ORD2415001770,27/03/20,81
P61449978,CUS0327061642,SUP258163777,ORD3347269125,11/01/21,62
P16574244,CUS7319780089,SUP274260887,ORD0432091114,10/05/22,100
P87978600,CUS9286975155,SUP232115291,ORD1905776021,12/12/21,31
P53696947,CUS3742255150,SUP159432385,ORD7404492395,28/04/22,85
P33822408,CUS2602615323,SUP132315598,ORD1504518947,25/12/22,40
P63226549,CUS6697500344,SUP132825464,ORD5085217642,14/11/21,20
P36933022,CUS3559543533,SUP945668282,ORD9449354267,21/12/22,72
P13472415,CUS5998183185,SUP251725474,ORD4195648550,25/08/20,54
P78217241,CUS5487886393,SUP945668282,ORD5417336379,06/07/21,50
P91465745,CUS1634646177,SUP188795951,ORD1531158990,28/08/20,90
P17357211,CUS6449983477,SUP209531516,ORD1438459501,18/09/20,100
P41232863,CUS3646810106,SUP424904370,ORD9560276399,08/03/20,34
P80579957,CUS0342969579,SUP102667751,ORD7665078653,07/07/20,3
P74822795,CUS2528958110,SUP711474158,ORD8914516649,08/03/20,30
P89896259,CUS8189134566,SUP132254606,ORD6402388493,18/02/22,61
P31286465,CUS0783483473,SUP325358843,ORD0697355202,19/05/20,5
P97627448,CUS6981244861,SUP251725474,ORD5223844258,11/05/21,35
P31286465,CUS8785551031,SUP985993581,ORD3798964578,10/07/21,68
P42945843,CUS8828294876,SUP155467998,ORD6551829431,28/06/22,91
P75953482,CUS8850149883,SUP294192046,ORD1601988270,17/11/20,82
P33372053,CUS2193579504,SUP270987025,ORD3491071823,20/01/20,54
P82479977,CUS7918433742,SUP290964838,ORD6372145076,07/04/21,43
P64131670,CUS6544743038,SUP198078780,ORD3217386552,19/07/22,27
P70557429,CUS8560514589,SUP131798677,ORD5687001222,09/03/22,28
P75518282,CUS3559268826,SUP159126633,ORD8380457878,25/09/21,87
P86518936,CUS6122795623,SUP207257196,ORD8914516649,24/05/21,9
P49267362,CUS1981571663,SUP985993581,ORD0583594422,02/01/22,40
P38535158,CUS4818183709,SUP330356313,ORD2060415993,29/11/22,7
P13287051,CUS6892082351,SUP324870003,ORD2415001770,09/01/20,31
P89117870,CUS6282311217,SUP182315671,ORD8250944178,14/01/21,20
P32531909,CUS3822688606,SUP204457471,ORD6132172024,23/01/21,63
P42515509,CUS9081937030,SUP668506718,ORD8094110572,18/01/21,87
P61429599,CUS9732817674,SUP938696893,ORD3931910938,08/04/21,36
P50641947,CUS7625017567,SUP151971428,ORD0740608161,05/11/20,10
P82814085,CUS9826238953,SUP337535546,ORD6365517224,11/01/22,14
P33719577,CUS9174492152,SUP222889906,ORD8526119074,08/12/21,88
P23969997,CUS0937675989,SUP191864249,ORD7059684808,23/06/20,33
P81375409,CUS8056145044,SUP129209784,ORD5500994473,04/06/20,48
P85381374,CUS8165961500,SUP154356472,ORD7665078653,17/01/20,71
P49965352,CUS4793777082,SUP272155500,ORD5417336379,29/06/20,66
P70523514,CUS5462246188,SUP224448032,ORD9664865588,01/11/20,79
P47988011,CUS3610620455,SUP157544725,ORD8104601740,03/10/21,23
P39199819,CUS8607938576,SUP259593110,ORD0322509310,09/02/21,26
