product_id,product_name,product_reviewscore,product_price,category_id
P22744492,Timberland 6-Inch Premium Waterproof Boot,1.97,78.31,CAT5703098011
P38683780,Levi's 501 Jeans,4.51,243.3,CAT5703098011
P91465745,Nike Air Max 90,2.99,161.41,CAT5703098011
P70523514,Apple AirPods Pro,4.47,78.91,CAT5703098011
P29264607,Bose Noise Cancelling Headphones 700,4.24,212.8,CAT5703098011
P76303988,Chuck Taylor All Star High Top,1.78,56.34,CAT5703098011
P50372459,Chuck Taylor All Star High Top,1.66,313.41,CAT5703098011
P17981239,Anker PowerCore 10000,2.55,295.74,CAT5703098011
P66288623,UE Boom 3,3.3,347.39,CAT5703098011
P49267362,Air Jordan 1,3.9,99.07,CAT5703098011
P94334727,Air Jordan 1,4.61,235.94,CAT5703098011
P37558138,RAVPower Portable Charger,2.9,49.85,CAT5703098011
P58976509,Crocs Classic Clog,2.32,305.71,CAT5703098011
P38753116,Birkenstock Gizeh,1.97,329.92,CAT5703098011
P43586219,Ray-Ban Wayfarer Sunglasses,2.34,238.93,CAT5703098011
P81111129,Reebok Classic Leather,2.28,147.3,CAT5703098011
P60375192,Nike Air Force 1,2.76,234.59,CAT5703098011
P90537720,Chuck Taylor All Star High Top,1.45,95.64,CAT5703098011
P15957424,Dr. Martens 1460,2.93,20.71,CAT5703098011
P85381374,UE Boom 3,2.34,257.1,CAT5703098011
P92246999,UGG Classic Short Boot,1.79,27.21,CAT5703098011
P37294983,Puma Suede Classic,3.06,22.46,CAT5703098011
P58591848,New Balance 574,3.36,316.06,CAT5703098011
P15616370,Anker PowerCore 10000,4.34,346.92,CAT5703098011
P55724094,Nike Air Max 90,2.29,289.12,CAT5703098011
P86711759,Sennheiser Momentum 3 Wireless,1.39,349.97,CAT5703098011
P70356262,North Face Denali Jacket,3.35,346.89,CAT5703098011
P39805594,Tile Mate,1.71,85.39,CAT5703098011
P53696947,Air Jordan 1,1.89,273.51,CAT5703098011
P66752896,Nike Air Max 90,1.13,70.3,CAT5703098011
P62423978,Converse Chuck Taylor All Star,1.93,160.53,CAT5703098011
P14744963,North Face Denali Jacket,3.56,130.57,CAT5703098011
P98273360,Timberland 6-Inch Premium Waterproof Boot,2.96,280.8,CAT5703098011
P83414248,Converse Chuck Taylor All Star,1.29,234.72,CAT5703098011
P97429604,Nike Air Force 1,2.15,264.23,CAT5703098011
P82479977,Patagonia Better Sweater,3.14,83.94,CAT5703098011
P32928687,Converse Chuck Taylor All Star,3.61,219.79,CAT5703098011
P14994695,Bose Noise Cancelling Headphones 700,4.65,286.43,CAT5703098011
