product_id,warehouse_id,store_date,store_quantity
P77561744,W679380827,18/02/21,56
P62778148,W37000840,07/04/21,86
P82479977,W37000840,27/06/20,31
P25517310,W51346236,09/06/21,52
P53696947,W41190210,13/07/20,9
P81111129,W524103025,26/07/22,9
P36308399,W118220500,03/11/22,53
P89573496,W00935712,26/10/21,17
P21441091,W489512048,24/08/21,24
P77923787,W437420069,09/12/21,63
P10499890,W10812524,07/10/22,61
P99335403,W68462162,10/08/22,75
P57427090,W00935712,13/12/20,96
P99996011,W65162770,13/10/22,80
P44696854,W00935712,19/04/22,27
P74822795,W37000840,26/01/20,28
P71694575,W01155922,02/06/21,95
P89555698,W65162770,29/07/20,14
P96258197,W438570145,20/07/22,13
P75463073,W41190210,15/08/21,47
P86402575,W37000709,08/07/21,14
P77711784,W489517039,07/01/21,95
P36933022,W545693807,23/04/22,74
P74742032,W551544728,27/06/21,93
P90702913,W68462162,04/05/21,92
P70557429,W58980624,23/06/22,9
P37369153,W58194013,25/07/22,77
P30536604,W37000840,12/11/22,78
P11732301,W49997356,11/07/22,48
P26594134,W551544728,13/08/22,69
P62778148,W01155922,04/11/20,90
P43426627,W636293326,14/06/20,77
P61447074,W13537308,04/08/20,78
P32531909,W437420090,03/08/21,72
P34169033,W03786231,12/03/20,71
P66314818,W39765004,10/08/21,99
P81375409,W489512048,20/05/20,59
P98733463,W39765004,22/12/21,64
P13782125,W21695911,08/05/22,45
P29814122,W118220500,01/06/20,57
P32339443,W03786231,20/10/20,46
P39826195,W41190210,03/10/20,77
P33719577,W06151311,10/02/20,57
P32414713,W06151311,06/03/21,45
P63569529,W52959965,30/03/20,82
P61447074,W66129028,11/11/20,20
P86402575,W58194013,11/06/21,96
P70177835,W49483272,12/02/22,43
P45626479,W551547553,16/01/22,72
P89117870,W58980624,31/03/21,8
P29413835,W118220500,20/08/21,15
P99842537,W437420069,28/11/22,97
P26482200,W437420069,21/01/22,21
P42441115,W42254220,08/01/21,50
P87409829,W545693807,03/02/20,81
P61926913,W01155922,30/05/21,58
P36933022,W02680815,13/01/20,61
P17618629,W489512048,09/03/20,33
P65741732,W548685918,24/01/22,61
P21121307,W37000709,12/02/21,23
P16214409,W37000840,16/07/22,70
P59416778,W636293326,02/10/22,81
P89573496,W52959965,20/06/21,28
P22152660,W01155922,09/09/22,4
P10458194,W76398001,17/10/20,10
P62778148,W551547553,01/11/21,29
P36992527,W68462162,30/04/20,47
P51373352,W49997356,23/12/22,87
P63569529,W64764251,24/04/21,2
P44114070,W66129028,07/03/20,92
P37231300,W76398001,10/10/22,7
P54252623,W49997356,13/06/20,82
P48111266,W37000840,10/12/22,41
P30551375,W03786231,23/08/20,1
P61395791,W434060006,01/09/21,11
P92615078,W00935712,25/11/20,72
P53378526,W49997356,26/12/21,14
P67314901,W37000840,06/05/20,8
P47112734,W434060006,30/07/20,8
P44213668,W51224154,16/11/21,71
P54574264,W524103025,24/03/22,63
P97429604,W42254220,19/07/22,63
P80579957,W65162770,27/05/22,50
