supplier_id,supplier_name,supplier_street,supplier_city,supplier_country,supplier_postcode,supplier_contact,supplier_email,category_id
SUP714146417,Proctor Ltd,6880 Harrison Road,West Kathleen,Sudan,50356,146-514-0656,sarahgraham@example.org,CAT5960069590
SUP218950278,"Kramer, Sutton and Grimes",04416 Carrie Inlet Suite 076,Martinborough,United States Minor Outlying Islands,48052,295-446-9378,xburns@example.com,CAT7621512073
SUP132315598,Erickson and Sons,22115 Joy Via,West Leeberg,Sweden,16720,280-636-7851,joshua78@example.net,CAT0254545300
SUP334406849,Fowler-Rose,3675 Powell Drives Apt. 464,East Ericport,Zimbabwe,13328,584-899-6152,diane89@example.org,CAT5703098011
SUP324870003,Lin-Sutton,63862 Sherri Track Apt. 874,Figueroaview,Kenya,35161,130-495-7439,davidperez@example.org,CAT7621512073
SUP176933531,Baker Inc,430 Carter Shore Apt. 766,Longburgh,Turks and Caicos Islands,4362,192-118-1080,nicholsnathan@example.com,CAT7530357816
SUP198955567,"Watson, Stephens and Ruiz",10905 Robertson Camp Apt. 125,Alexanderchester,Bahamas,87201,650-973-0521,melissarichardson@example.com,CAT5960069590
SUP241830593,Hogan PLC,944 Dakota Valley,North Emilyton,Jordan,47157,920-410-4559,amandaanderson@example.com,CAT7621512073
SUP164456819,"Barnes, Cox and Harper",948 Eric Terrace Suite 521,Kimberlyborough,American Samoa,27083,599-368-1376,ronaldwilliams@example.com,CAT7621512073
SUP203120380,Woods and Sons,0322 Dawn Haven Suite 266,South Tammyview,Nepal,86353,327-898-5151,meyermary@example.com,CAT5960069590
SUP191089540,"Martinez, Owens and Edwards",80306 Christopher Hill,Gabrielstad,Anguilla,2655,225-836-5717,wmorgan@example.org,CAT5703098011
SUP229604884,Beasley Group,42825 Harris Keys Suite 540,Lake Darleneshire,Bulgaria,12996,105-128-2987,wgrimes@example.net,CAT7530357816
SUP840587209,Reilly-Wolfe,587 Eric Shoal,West Jacob,Suriname,66826,399-641-5282,davidsolis@example.com,CAT0254545300
SUP216261676,Holder-Adams,64413 Anne Tunnel Apt. 268,New Jamesbury,Lesotho,60479,872-742-0605,elizabethsutton@example.org,CAT5703098011
SUP206423067,Knox and Sons,6444 Ayala Flat,Rebeccabury,Martinique,33201,345-727-2091,bkelly@example.org,CAT0254545300
SUP166618280,Peterson LLC,2612 Finley Brook,Lake Jackton,Kazakhstan,3583,191-327-3076,davisnorma@example.net,CAT7530357816
SUP985993581,Cruz-Wyatt,60305 Jennifer Underpass,Clarkmouth,Saint Vincent and the Grenadines,50318,162-449-7374,john18@example.net,CAT5703098011
SUP338902121,Aguilar-Peterson,44224 Clark Run,East Johnview,Palau,85032,304-187-2565,kfritz@example.net,CAT7621512073
SUP142524398,Thomas Inc,922 Harrison Drive Apt. 644,East James,Albania,4095,985-346-3322,maria28@example.net,CAT5703098011
SUP173547559,Bailey-West,51217 Bradford Inlet,East Brandihaven,Paraguay,19212,648-396-9843,larry84@example.com,CAT0254545300
SUP274260887,Acosta-Mejia,8434 Ortiz Ways Suite 845,North Bryan,Tunisia,49030,401-694-0611,sarahmorales@example.org,CAT7621512073
SUP313562672,Proctor-Hines,604 Johnson Way,Port Melissa,Congo,60392,928-185-1003,tbailey@example.org,CAT5960069590
SUP188795951,Wall Group,784 Jackson Locks,Seanmouth,Senegal,729,804-938-0186,amarshall@example.org,CAT5703098011
SUP224448032,"Moody, Maxwell and Palmer",57181 David Spur Suite 526,Lambland,Lebanon,54738,811-522-0236,caleb06@example.com,CAT5703098011
SUP584400435,Gonzalez PLC,243 Meyer Junctions Apt. 059,New Markshire,Tajikistan,67580,776-131-0318,stephensmisty@example.com,CAT7621512073
SUP132825464,"Ramsey, Rogers and Walker",158 Stephens Terrace,New Ashley,Nigeria,5511,785-306-9802,richardcoleman@example.net,CAT5703098011
SUP121271196,Fernandez-Brewer,51485 Hannah Underpass Apt. 042,South Steventon,United States Virgin Islands,34035,463-933-8530,robertrichardson@example.org,CAT7621512073
SUP159126633,"Smith, Brown and White",00759 Stacie Pass Suite 587,Danielside,Bhutan,85069,314-587-4705,christine46@example.com,CAT5960069590
SUP391286527,Lewis-Miller,571 Megan Groves Apt. 698,Leemouth,Guyana,46261,421-418-1986,loganchandler@example.com,CAT5703098011
SUP609867193,Daniels-Johnson,803 Miller Drive Apt. 393,North Laura,United Arab Emirates,32572,161-310-3098,kerrandrew@example.net,CAT0254545300
SUP273189001,Benson PLC,866 Price Gardens,North Nancyland,Liechtenstein,46454,877-521-6279,rossjoshua@example.org,CAT5703098011
SUP222889906,Cantu-Schmidt,6383 Torres Radial Suite 420,Lake Whitney,Lao People's Democratic Republic,1489,228-768-1414,rebeccamatthews@example.org,CAT7621512073
SUP122284583,"Myers, Smith and Gamble",5550 Kevin Glens Apt. 634,Jodystad,Moldova,9326,142-911-3592,todd86@example.org,CAT7621512073
SUP129209784,Molina-Reed,850 Hayes Brooks,East Meganstad,Liechtenstein,48992,928-873-7383,vhernandez@example.org,CAT0254545300
SUP201639405,Durham-Dominguez,5963 Berger Row Apt. 012,North Rachelmouth,Uruguay,15083,165-251-7970,paynechad@example.org,CAT0254545300
SUP133404992,Lawson LLC,4136 Hebert Shoal,Mooreburgh,Turks and Caicos Islands,50551,195-681-3291,brewerjason@example.com,CAT7621512073
SUP668506718,Miller-Mills,2688 Kelley Ford Suite 876,Lake Amandaborough,Micronesia,66890,254-692-2605,steven47@example.org,CAT7621512073
SUP133235870,Castillo PLC,292 Steven Camp Suite 693,Greenfurt,Dominican Republic,29619,926-501-5327,wilsonkevin@example.com,CAT5703098011
SUP169767088,Brown-Oliver,7693 Peterson Island,Jamesborough,Dominican Republic,53519,545-256-7388,melissathomas@example.com,CAT7621512073
