product_id,supplier_id,product_cost,quantity
P53438658,SUP160985008,180.14,57
P42945843,SUP155467998,16.94,94
P44893051,SUP247151522,103,46
P37952537,SUP106937126,281.33,20
P90263233,SUP272155500,117.38,67
P39731603,SUP182315671,265.1,96
P31286465,SUP325358843,170.2,20
P66719343,SUP581298570,137.29,96
P37231300,SUP295630905,120.4,31
P77451807,SUP117295279,331.84,26
P82479977,SUP316833253,73.92,88
P82197036,SUP337535546,801.05,43
P42945843,SUP228032136,19.08,82
P89555698,SUP203374023,123.68,44
P66191469,SUP290451107,246.21,13
P85472117,SUP695839034,22.58,50
P15931711,SUP141435801,96.36,84
P56248922,SUP207257196,194.41,92
P10188164,SUP273951622,109.66,50
P75518282,SUP840378313,412.2,51
P75528934,SUP292038086,232.74,25
P10603435,SUP112214886,477.2,22
P39805594,SUP259205684,68.65,33
P53696947,SUP106937126,255.22,95
P16214409,SUP232333075,42.7,86
P37952537,SUP216261676,247.39,56
P53133956,SUP183296109,165.48,13
P52784962,SUP325358843,326.44,81
P15499527,SUP272155500,185.66,19
P33926222,SUP154356472,24.31,46
P81392925,SUP166618280,287.48,27
P43542510,SUP144153284,115.49,87
P26594134,SUP274260887,121.94,31
P32383673,SUP443090128,148.53,28
P41899275,SUP228032136,10.62,92
P92803982,SUP122284583,7.83,59
P14375300,SUP112426010,101.22,47
P10975669,SUP173547559,85.57,49
P47165693,SUP892567108,197.49,16
P54574264,SUP185486546,443.27,45
P37558138,SUP290964838,36.75,21
P70523514,SUP488169079,67.33,19
P95393997,SUP155078486,199.02,69
P52957471,SUP113427036,97.61,19
P19729934,SUP201639405,43.52,88
P15658644,SUP588129541,235.5,83
P92909603,SUP207257196,25.75,84
P37294983,SUP463149069,18.21,53
P86402575,SUP155467998,16.25,70
P47948162,SUP202756351,21.22,63
P66191469,SUP135411427,280.54,75
P29264607,SUP243659080,188.11,42
P82814085,SUP337535546,429.38,30
P64927743,SUP820077324,17.04,28
P82284372,SUP232115291,178.22,88
P78289944,SUP191864249,85.19,54
P33452207,SUP117295279,295,15
P97429604,SUP293926685,232.84,76
P64884205,SUP186921538,9.09,99
P32219071,SUP179344382,66.21,45
P54252623,SUP265977472,45.22,83
P17981239,SUP135411427,262.3,76
P70126000,SUP133235870,132.45,13
P92217517,SUP144153284,46.88,47
P65741732,SUP284008125,492.45,88
P91465745,SUP795028826,147.84,48
P89694349,SUP146303725,185.7,75
P32897218,SUP186921538,67.21,97
P70177835,SUP179344382,5.84,22
P52204796,SUP391286527,252.01,72
P45626479,SUP132315598,30.69,33
P47988011,SUP265977472,75.69,79
P40833003,SUP241058304,238.46,75
P92929889,SUP136665271,96.8,39
P54252623,SUP303365953,39.24,21
P66752896,SUP335813809,61.96,99
P31286465,SUP463149069,166.27,50
P27202681,SUP157544725,26.63,68
P51338421,SUP293926685,77.24,53
P69127521,SUP287888056,591.72,11
P63223251,SUP247151522,289.77,69
P44114070,SUP179344382,66.75,52
P39885819,SUP155078486,187.33,50
P56248922,SUP164456819,225.72,65
P80579957,SUP283355172,25.67,85
P47988011,SUP261309764,75.24,74
P66459393,SUP588129541,280.47,36
P37231300,SUP169767088,134.3,43
P42945843,SUP136665271,18.91,59
P46637021,SUP275620523,677.27,48
P92792924,SUP224698208,23.96,37
P82406876,SUP146303725,6.15,78
P82906066,SUP359315989,63.51,56
P86575409,SUP249760074,44.73,38
P94668096,SUP144153284,99.85,63
P83352663,SUP581298570,245.82,30
P32414713,SUP668506718,156.25,78
P76573321,SUP224698208,96.11,21
P93464793,SUP114427716,659.75,45
P85487175,SUP335813809,174.29,77
