ads_id,ads_startdate,ads_enddate,ads_price,supplier_id,product_id
AD445322524,23/12/22,12/10/23,2349.51,SUP106937126,P61926913
AD860143870,16/09/22,17/04/23,630.56,SUP146303725,P64188193
AD822342060,15/09/22,31/12/23,2257,SUP398474325,P38753116
AD057947406,16/04/22,10/12/23,1833.04,SUP133509984,P97568768
AD169577058,07/01/22,01/04/23,1919.67,SUP129224270,P35317573
AD338039369,20/06/22,29/02/24,1874.76,SUP259593110,P81729199
AD691678157,02/06/22,14/05/23,1505.64,SUP136871057,P13287051
AD688750676,21/01/22,27/01/24,422.43,SUP141435801,P86575409
AD496205218,06/09/22,21/11/23,1089.65,SUP280438548,P90925914
AD035861868,09/04/22,21/11/23,765.15,SUP218582517,P92615078
AD687365530,18/11/21,07/07/23,888.81,SUP303200139,P48853418
AD393853637,26/11/21,06/01/23,112.18,SUP163462750,P27501243
AD927891060,11/12/22,21/01/24,853.55,SUP183296109,P77923787
AD843727529,30/05/21,08/12/23,1010.34,SUP132825464,P52204796
AD237616310,16/10/21,25/07/23,497.98,SUP262728222,P46386620
AD183800287,13/04/21,13/08/23,672.75,SUP512101375,P50372459
AD026390088,10/06/22,29/04/23,2683.28,SUP695839034,P47172400
AD029988637,07/05/21,27/02/23,1095.92,SUP134982297,P34297538
AD647597784,16/12/22,26/12/23,2383.33,SUP249760074,P53155264
AD348675884,20/02/22,30/01/23,1726.24,SUP136871057,P78367641
AD674275351,26/01/22,19/08/23,1736.84,SUP222889906,P89314961
AD374820106,29/05/21,30/06/23,1284.11,SUP114427716,P20641623
AD611587310,29/11/21,15/02/24,2524.84,SUP227734170,P50505190
AD540461127,31/05/21,05/07/23,2439.32,SUP274260887,P96472289
AD900014406,20/06/21,02/05/23,624.33,SUP334406849,P53426774
AD787658222,16/02/21,09/12/23,1184.42,SUP226432649,P58474530
AD471330419,01/11/21,17/08/23,2311.36,SUP256273530,P94334727
AD131484649,08/12/21,07/03/23,2794.71,SUP122284583,P86575409
AD658082828,01/06/21,08/04/23,2176.59,SUP133509984,P40649345
AD336575821,13/01/22,06/03/24,2398.39,SUP270987025,P10603435
AD005789869,09/09/22,23/02/23,2165.25,SUP251725474,P32897218
AD859748136,27/05/21,08/10/23,148.98,SUP270987025,P33342028
AD656084361,25/11/21,02/02/23,522.06,SUP391286527,P85487175
AD918305813,07/03/22,28/02/23,464.25,SUP668506718,P92722397
