ads_id,ads_startdate,ads_enddate,ads_price,supplier_id,product_id
AD875682111,31/01/22,26/06/23,955.86,SUP117295279,P16916593
AD772051292,18/03/21,16/11/23,1947.98,SUP224698208,P28889142
AD845434580,14/09/22,29/03/23,1032.67,SUP216261676,P49292258
AD504276000,29/12/22,24/06/23,1108,SUP186921538,P92615078
AD250005202,29/08/21,26/08/23,648.69,SUP288993955,P92803982
AD426693390,02/03/21,10/05/23,280.1,SUP311982157,P13782125
AD420586148,07/10/22,28/07/23,2425.08,SUP132825464,P67314901
AD719797144,02/01/22,31/10/23,1994.87,SUP292038086,P85472117
AD089161946,22/07/22,06/10/23,965.25,SUP324870003,P47109983
AD736046240,04/10/22,28/12/23,250.61,SUP131299122,P92615078
AD306760702,11/12/22,13/01/23,459.95,SUP159407557,P97429604
AD477809530,08/05/22,05/09/23,33.06,SUP443090128,P23854089
AD248029783,06/06/22,17/07/23,836.85,SUP136665271,P51502320
AD981720837,07/07/21,29/11/23,126.71,SUP173547559,P94668096
AD255782264,14/11/22,03/05/23,2658.3,SUP160985008,P42515509
AD089077605,01/02/21,15/11/23,159.85,SUP512101375,P37294983
AD626071008,16/12/22,06/08/23,456.54,SUP203120380,P13569922
AD365505610,31/05/21,26/10/23,1774.69,SUP303365953,P31449565
AD472891923,21/09/22,30/03/23,1685.6,SUP248372052,P50833741
AD345835302,25/04/22,21/11/23,2883.6,SUP107618171,P61395791
AD385148932,10/10/22,09/10/23,1937.93,SUP133404992,P61449978
AD729964053,19/06/22,25/09/23,389.22,SUP186921538,P96677758
AD662765395,04/03/22,11/11/23,1709.9,SUP218950278,P58899446
AD941532225,23/10/21,18/12/23,2221.18,SUP588129541,P32873674
AD115151441,21/11/21,08/05/23,2779.1,SUP156300936,P76303988
AD584103971,20/06/21,20/10/23,1220.89,SUP251586871,P46102483
AD221014121,21/02/21,15/04/23,2894.38,SUP795028826,P61926913
AD606356536,31/08/22,09/04/23,2185.17,SUP261309764,P48111266
AD459832444,13/08/21,23/01/24,856.98,SUP283070800,P29518596
AD443566079,11/07/21,24/03/23,1399.79,SUP463149069,P23885151
AD300152345,01/04/21,05/01/24,385.86,SUP424904370,P61963665
AD901821587,17/11/22,12/09/23,1203.93,SUP131406229,P63226549
AD998920246,06/10/21,05/08/23,2823.03,SUP151805265,P94668096
AD602749630,15/11/21,14/12/23,2024.79,SUP443090128,P89694349
AD174515414,11/11/21,27/04/23,145.63,SUP463149069,P53649623
AD814935232,14/08/22,03/01/23,2743.67,SUP172597346,P38753116
AD182687869,09/11/21,17/11/23,627.23,SUP820077324,P94668096
AD735014150,17/01/22,24/02/23,1755.41,SUP359315989,P26594134
AD982185504,10/09/22,21/02/23,1877.05,SUP398474325,P90925914
AD552093632,01/11/22,14/10/23,943.56,SUP159126633,P87409829
AD294432607,30/04/22,26/01/23,1735.31,SUP120465025,P13472415
AD599462418,16/06/21,31/01/23,179.51,SUP112214886,P63223251
AD517745294,08/11/21,15/11/23,307.67,SUP311982157,P63203803
AD045027790,14/03/22,20/09/23,2223.09,SUP155078486,P47172400
AD030791046,31/01/22,27/02/23,1908.53,SUP322365865,P15616370
AD405624678,12/03/22,22/07/23,1032.9,SUP129209784,P17137437
AD861631982,10/08/21,21/06/23,2360.13,SUP170774484,P23511328
AD242647916,09/03/22,14/10/23,2200.71,SUP151971428,P36353779
AD152925021,14/04/22,27/10/23,154.08,SUP289814149,P83352663
AD876830537,05/12/22,27/04/23,2831.7,SUP289814149,P13263309
AD940253364,25/12/21,01/07/23,1540.04,SUP133404992,P10458194
AD803907748,26/07/21,21/01/23,389.14,SUP141435801,P56426674
AD566258516,17/11/22,08/02/24,2827.96,SUP228032136,P62744404
AD050278861,29/06/22,05/08/23,952.55,SUP262728222,P50372459
