product_id,customer_id,supplier_id,order_details_id,order_transaction_date,order_quantity
P55724094,CUS4852119708,SUP463149069,ORD8855077731,09/09/20,69
P21121307,CUS0349331189,SUP198135621,ORD9937715835,18/11/21,1
P79675714,CUS2515867197,SUP272769681,ORD5739212331,20/01/20,58
P71411966,CUS4723959378,SUP293268870,ORD4678009002,18/08/20,34
P66191469,CUS6798938434,SUP423480280,ORD1329643545,25/10/21,27
P38535158,CUS5132275095,SUP159407557,ORD7937481405,22/01/20,48
P46931127,CUS3810548448,SUP100395220,ORD7487164435,06/08/21,29
P85381374,CUS6981244861,SUP280438548,ORD0854269302,23/03/22,81
P95393997,CUS8943135270,SUP155078486,ORD2658400852,24/06/21,53
P43542510,CUS2186219417,SUP261309764,ORD5520976424,26/06/22,15
P28501207,CUS2605351815,SUP114427716,ORD7314023243,16/05/21,28
P82566347,CUS7233835160,SUP272155500,ORD5847957255,30/10/21,100
P81554792,CUS2404489968,SUP272155500,ORD8919126981,30/09/21,18
P34927127,CUS5167739152,SUP122284583,ORD4830085386,27/11/21,85
P60205815,CUS1634646177,SUP146303725,ORD0514814168,01/04/21,10
P96258197,CUS0869953095,SUP316833253,ORD0322509310,30/08/21,82
P62423978,CUS0783483473,SUP512101375,ORD8476665586,22/06/20,40
P37294983,CUS6588182066,SUP463149069,ORD4944507040,25/03/21,96
P99371696,CUS1718770766,SUP222889906,ORD1804608827,21/01/22,85
P59757555,CUS7732034554,SUP218950278,ORD3708829666,05/05/22,89
P64927743,CUS1539654281,SUP228032136,ORD9330194933,26/07/22,93
P69127521,CUS3879310602,SUP287888056,ORD2160465900,09/05/20,84
P44696854,CUS8056145044,SUP588129541,ORD9345064503,29/04/21,70
P82942731,CUS3879310602,SUP714146417,ORD5491875137,11/11/21,34
P82479977,CUS9152270866,SUP290964838,ORD6326295867,21/11/22,60
P63203803,CUS5073267176,SUP204457471,ORD7347351480,27/09/20,29
P36928752,CUS0571636772,SUP325358843,ORD5444245416,04/11/22,87
P19197874,CUS3610620455,SUP227734170,ORD4927078469,14/08/21,98
P62423978,CUS1278280324,SUP134982297,ORD0812856671,07/04/22,93
P41899275,CUS7747105142,SUP228032136,ORD3235220079,31/05/20,27
P23854089,CUS2891104692,SUP207257196,ORD9017518859,10/02/22,83
P36353779,CUS5699587551,SUP289814149,ORD2070169591,24/06/22,85
P80123273,CUS6697500344,SUP141435801,ORD8968497189,27/05/22,27
P38449378,CUS3207134734,SUP303365953,ORD5572176813,12/05/22,14
P75766182,CUS6022337518,SUP226432649,ORD9961067836,26/04/20,46
P47172400,CUS3085649263,SUP760221969,ORD3559623904,09/10/21,91
P14994695,CUS6894273308,SUP398474325,ORD4558182354,06/03/20,24
P45936394,CUS7319780089,SUP159126633,ORD7578414245,24/12/20,97
P59852909,CUS7932932270,SUP154356472,ORD1487849001,16/07/21,86
P94668096,CUS1718770766,SUP120465025,ORD2525988438,29/04/22,89
P41899275,CUS1022762222,SUP155467998,ORD1087221596,20/04/20,95
P81111129,CUS2617954021,SUP172597346,ORD7040430374,21/12/20,26
P62744404,CUS2050980337,SUP173547559,ORD9415363436,30/03/20,84
P47165693,CUS2614053503,SUP202756351,ORD4415868238,03/03/21,89
P99789809,CUS0470847441,SUP476888678,ORD1487849001,02/02/21,5
P34169033,CUS1991758499,SUP170774484,ORD8423530803,18/10/20,37
P56907959,CUS6906889680,SUP246730485,ORD9937715835,17/03/21,65
P96472289,CUS7500030959,SUP272769681,ORD8526119074,29/05/22,4
P45634441,CUS2518221786,SUP985993581,ORD7482638587,26/05/20,89
P94819787,CUS3610620455,SUP840378313,ORD4609905144,11/08/20,73
P42945843,CUS1907537864,SUP155467998,ORD0312814703,06/05/20,58
P59867097,CUS6482670962,SUP322365865,ORD6177093439,13/04/20,54
P53696947,CUS2788741928,SUP106937126,ORD2791334020,10/08/21,70
P85381374,CUS6727460124,SUP106937126,ORD3984949899,08/05/22,56
P23954632,CUS7732034554,SUP264619357,ORD3739044721,26/04/21,87
P56656400,CUS2278353411,SUP330356313,ORD9813746734,10/03/22,48
P37952537,CUS3333948133,SUP985993581,ORD2255646024,11/04/22,39
P49751701,CUS8232142286,SUP207257196,ORD5212771479,16/05/21,90
