product_id,product_name,product_reviewscore,product_price,category_id
P32531909,LeapFrog Shapes & Sharing Picnic Basket,1.95,202.41,CAT7621512073
P78289944,Hot Wheels Basic Car 50-Pack,1.43,94.7,CAT7621512073
P89611215,Fisher-Price Little People Caring for Animals Farm,1.71,20.85,CAT7621512073
P56248922,Melissa & Doug Let's Play House! Dust! Sweep! Mop!,1.06,249.84,CAT7621512073
P20734556,VTech Sit-to-Stand Learning Walker,3.79,188.65,CAT7621512073
P23223638,Play-Doh Modeling Compound 10-Pack,3.66,18.18,CAT7621512073
P70867799,Hot Wheels Basic Car 50-Pack,2.6,142.23,CAT7621512073
P90213319,Nerf N-Strike Elite Disruptor,3.21,20.02,CAT7621512073
P82406876,Barbie Dreamhouse,2.47,8.75,CAT7621512073
P62536520,LEGO DUPLO My First Number Train,3.61,152.48,CAT7621512073
P92682355,Fisher-Price Rock-a-Stack,3.51,248.85,CAT7621512073
P82284372,Crayola Inspiration Art Case,2.11,211.22,CAT7621512073
P88568858,LeapFrog Shapes & Sharing Picnic Basket,1.9,194.69,CAT7621512073
P16574244,Nerf N-Strike Elite Disruptor,1.11,235.54,CAT7621512073
P44116414,LEGO Classic Creative Bricks,4.82,78.46,CAT7621512073
P23969997,Crayola Inspiration Art Case,1.05,56.98,CAT7621512073
P92965614,Melissa & Doug Let's Play House! Dust! Sweep! Mop!,1.83,92.75,CAT7621512073
P58899446,Play-Doh Modeling Compound 10-Pack,2.16,172.92,CAT7621512073
P45199205,Crayola Inspiration Art Case,2.25,252.89,CAT7621512073
P53155264,VTech Drop & Go Dump Truck,3.02,29.28,CAT7621512073
P10456729,Crayola Inspiration Art Case,4.64,98.74,CAT7621512073
P13782125,Crayola Inspiration Art Case,4.24,117.35,CAT7621512073
P77449617,VTech Sit-to-Stand Learning Walker,3.05,231.73,CAT7621512073
P50847950,Barbie Dreamhouse,1.45,152.72,CAT7621512073
P25448652,Barbie Dreamhouse,4.72,80.49,CAT7621512073
P94622945,Play-Doh Modeling Compound 10-Pack,1.45,141.59,CAT7621512073
P15931711,Play-Doh Modeling Compound 10-Pack,1.32,113.72,CAT7621512073
P42515509,Nerf N-Strike Elite Disruptor,4.46,256.99,CAT7621512073
P64188193,Barbie Dreamhouse,4.95,14.29,CAT7621512073
P26594134,Nerf N-Strike Elite Disruptor,2.65,135.56,CAT7621512073
P96472289,Hot Wheels Basic Car 50-Pack,3.4,83,CAT7621512073
P32662825,Fisher-Price Laugh & Learn Smart Stages Chair,1.33,93.62,CAT7621512073
P86518936,Barbie Dreamhouse,4.45,24.23,CAT7621512073
P59757555,Crayola Inspiration Art Case,1.63,87.42,CAT7621512073
P92803982,Play-Doh Modeling Compound 10-Pack,1.11,9.84,CAT7621512073
P50505190,VTech Sit-to-Stand Learning Walker,2.09,63.12,CAT7621512073
P99371696,Fisher-Price Little People Caring for Animals Farm,4.69,28.11,CAT7621512073
P13745599,Fisher-Price Laugh & Learn Smart Stages Chair,3,43.24,CAT7621512073
P86575409,Fisher-Price Little People Caring for Animals Farm,3.31,50.18,CAT7621512073
P27499095,LeapFrog Shapes & Sharing Picnic Basket,2.52,122.49,CAT7621512073
P47109983,Fisher-Price Laugh & Learn Smart Stages Chair,1.04,152.51,CAT7621512073
P92909603,Hot Wheels Basic Car 50-Pack,4.93,35.97,CAT7621512073
P86673349,LEGO Classic Creative Bricks,2.53,235.85,CAT7621512073
P82906066,Hot Wheels Basic Car 50-Pack,1.24,66.91,CAT7621512073
P74135058,Melissa & Doug Let's Play House! Dust! Sweep! Mop!,1.62,226.35,CAT7621512073
P34927127,Fisher-Price Laugh & Learn Smart Stages Chair,3.58,128.8,CAT7621512073
P88765331,Fisher-Price Rock-a-Stack,3.13,160.39,CAT7621512073
P56426674,LeapFrog Shapes & Sharing Picnic Basket,3.18,86.92,CAT7621512073
P65451355,Lego Millennium Falcon,3.21,110.76,CAT7621512073
P56729689,Crayola Inspiration Art Case,4.03,212.57,CAT7621512073
P61141902,Melissa & Doug Let's Play House! Dust! Sweep! Mop!,1.02,126.91,CAT7621512073
P37231300,VTech Sit-to-Stand Learning Walker,4.31,166.87,CAT7621512073
P10107240,Nerf N-Strike Elite Disruptor,2.19,111.96,CAT7621512073
P79675714,Hot Wheels Basic Car 50-Pack,3.07,49.75,CAT7621512073
P19197874,LEGO DUPLO My First Number Train,1.69,248.26,CAT7621512073
P87978600,Hot Wheels Basic Car 50-Pack,4.17,37.2,CAT7621512073
P86344845,LeapFrog Shapes & Sharing Picnic Basket,3.01,155.47,CAT7621512073
P89694349,VTech Drop & Go Dump Truck,2.47,199.72,CAT7621512073
P22152660,Fisher-Price Laugh & Learn Smart Stages Chair,1.65,215.51,CAT7621512073
P95573042,Hot Wheels Basic Car 50-Pack,2.07,122,CAT7621512073
P57427090,Fisher-Price Little People Caring for Animals Farm,3.13,179.73,CAT7621512073
P32383673,Fisher-Price Laugh & Learn Smart Stages Chair,4.62,165.01,CAT7621512073
P76459907,LEGO Star Wars Millennium Falcon,1.46,173.67,CAT7621512073
P15397235,LeapFrog Shapes & Sharing Picnic Basket,1.25,234.97,CAT7621512073
P36381999,Fisher-Price Little People Caring for Animals Farm,4.93,46.4,CAT7621512073
P42146558,Fisher-Price Laugh & Learn Smart Stages Chair,4.26,37.9,CAT7621512073
P78367641,Melissa & Doug Let's Play House! Dust! Sweep! Mop!,3.05,155.74,CAT7621512073
P80123273,VTech Sit-to-Stand Learning Walker,1.93,184.08,CAT7621512073
P89314961,Nerf N-Strike Elite Disruptor,1.2,30.46,CAT7621512073
P12561701,LEGO Classic Creative Bricks,4.83,219.92,CAT7621512073
P33719577,Nintendo Switch,3.13,98.25,CAT7621512073
P10458194,Nerf N-Strike Elite Disruptor,3.27,49.67,CAT7621512073
P32414713,LEGO DUPLO My First Number Train,2.57,164.85,CAT7621512073
P46526353,Melissa & Doug Let's Play House! Dust! Sweep! Mop!,4.09,64.62,CAT7621512073
P64131670,Nerf N-Strike Elite Disruptor,1.67,21,CAT7621512073
P14375300,Hot Wheels Basic Car 50-Pack,1.57,117.51,CAT7621512073
P63203803,Melissa & Doug Let's Play House! Dust! Sweep! Mop!,3.13,164.94,CAT7621512073
P61449978,LEGO Star Wars Millennium Falcon,3.35,70.04,CAT7621512073
P74822795,VTech Drop & Go Dump Truck,1.98,138.61,CAT7621512073
P80167548,LEGO DUPLO My First Number Train,4.34,108.75,CAT7621512073
P62685206,Barbie Dreamhouse,3.18,66.26,CAT7621512073
P53438658,VTech Drop & Go Dump Truck,2.8,237.55,CAT7621512073
P34701889,VTech Drop & Go Dump Truck,3.04,187.32,CAT7621512073
P80599323,VTech Sit-to-Stand Learning Walker,1.88,167.07,CAT7621512073
P23854089,Crayola Inspiration Art Case,2.3,47.01,CAT7621512073
P48582572,Melissa & Doug Let's Play House! Dust! Sweep! Mop!,4.63,87.03,CAT7621512073
P74742032,LEGO Star Wars Millennium Falcon,2.73,142.75,CAT7621512073
P17618629,LeapFrog Shapes & Sharing Picnic Basket,4.15,76.81,CAT7621512073
P18572795,Fisher-Price Little People Caring for Animals Farm,3.9,173.48,CAT7621512073
P60205815,Play-Doh Modeling Compound 10-Pack,4.27,67.01,CAT7621512073
P92722397,VTech Sit-to-Stand Learning Walker,3.74,219.98,CAT7621512073
P99842537,Crayola Inspiration Art Case,4.39,97.47,CAT7621512073
P51233258,Melissa & Doug Let's Play House! Dust! Sweep! Mop!,4.52,187.91,CAT7621512073
P95476550,Hot Wheels Basic Car 50-Pack,4.91,143.64,CAT7621512073
P10188164,VTech Sit-to-Stand Learning Walker,2.27,122.77,CAT7621512073
P77561744,Fisher-Price Little People Caring for Animals Farm,3.19,130.52,CAT7621512073
P49751701,Melissa & Doug Let's Play House! Dust! Sweep! Mop!,4.83,250.05,CAT7621512073
P50833741,Fisher-Price Laugh & Learn Smart Stages Chair,3.16,6.12,CAT7621512073
P79519988,Fisher-Price Laugh & Learn Smart Stages Chair,3.89,129.57,CAT7621512073
P13287051,Nerf N-Strike Elite Disruptor,1.85,208.43,CAT7621512073
