product_id,warehouse_id,store_date,store_quantity
P24968444,W76398001,13/07/21,68
P90375591,W64764251,20/04/22,74
P53133956,W10812350,19/09/20,10
P92722397,W118220500,27/06/20,65
P17909696,W524103025,11/02/21,46
P31796113,W01155922,28/09/22,93
P62423978,W13537308,29/04/22,100
P45406149,W13537308,05/05/22,40
P38341000,W65162770,12/10/22,75
P47172400,W548685918,23/11/20,6
P56508579,W489517039,07/04/22,49
P81729199,W52959965,05/11/22,12
P39731603,W64764251,14/01/21,55
P21857128,W551547553,10/04/21,29
P32383673,W52959965,13/07/22,1
P86673349,W679380827,11/05/21,67
P71411966,W37000709,20/12/21,70
P75518282,W03786231,20/11/20,92
P74774577,W489513139,01/03/22,2
P89896259,W64764251,26/12/22,72
P15957424,W58194013,29/12/22,95
P77449617,W01155922,18/05/21,98
P66314818,W575200434,16/01/22,52
P54446208,W58980624,02/12/21,49
P13268949,W49967790,23/11/20,64
P58899446,W636293326,05/08/21,36
P44423881,W36800532,23/09/22,71
P69461901,W575200434,07/01/20,90
P13745599,W524103025,12/09/20,63
P34139616,W65162770,02/11/22,61
P89555698,W01155922,01/05/22,50
P61963665,W13537308,13/12/21,84
P81554792,W58980624,01/09/20,16
P63569529,W13537308,01/01/22,24
P41608676,W06151311,13/03/20,1
P47988011,W636293326,05/01/22,6
P47241676,W434060006,03/09/20,72
P61141902,W41190210,23/02/21,67
P99842537,W21695911,23/11/22,70
P21669181,W01155922,28/06/22,16
P86575409,W49997356,21/04/22,34
P61447074,W58194013,01/05/21,14
P99371696,W369872259,11/06/21,59
P54252623,W65643334,01/09/21,70
P93464793,W369872259,08/08/21,23
P12852966,W437420069,30/08/20,85
P82814085,W76125784,12/07/20,1
P23885151,W68462162,15/05/20,86
P66719343,W64764251,15/10/20,68
P39199819,W65643334,02/07/22,27
P30841123,W01155922,10/01/21,43
P75528934,W76125784,11/06/21,94
P24518204,W10812524,10/02/22,30
P94334727,W10812524,15/06/20,66
P60205815,W76398001,15/08/22,20
P75518282,W68462162,09/05/22,20
P92217517,W551544739,23/02/21,64
P77906440,W64764251,29/07/20,1
P11759622,W551544728,24/10/21,32
P95476550,W43419857,31/03/21,74
P90263233,W551547553,26/05/20,57
P85487175,W434060006,02/07/22,78
P77413845,W36800532,08/06/22,65
P23223638,W551544739,12/11/22,39
P91772057,W551547553,03/01/21,11
P30841123,W65643334,12/10/21,39
P59416778,W76398001,11/07/21,29
P81774707,W13537308,29/03/20,46
P20641623,W551547553,07/12/20,91
P66459393,W434060006,03/03/22,61
P15616370,W64764251,01/04/21,69
P84997176,W36800532,04/04/21,86
P93171573,W76125784,21/02/22,58
P39826195,W548685918,13/10/22,46
P32414713,W49967790,22/05/20,44
P73777011,W551544739,01/07/21,40
P70523514,W118220500,25/01/20,32
P79675714,W437420069,25/07/22,71
P91772057,W21695911,25/10/22,86
P70205893,W437420090,31/08/22,100
P54252623,W636293326,20/01/21,97
P13268949,W489513139,20/02/20,34
P13972659,W43419857,20/02/21,1
P60205815,W42254220,27/09/20,11
P15658644,W51346236,23/09/22,40
P84997176,W548685918,17/02/22,48
P49439033,W13537308,07/10/20,13
P16547344,W13537308,07/10/21,17
P42945843,W49483272,26/05/20,11
P57427090,W52959965,20/09/20,64
P78367641,W636293326,14/12/22,58
P11549408,W65162770,09/05/22,74
P77815560,W489512048,12/09/21,50
P59852909,W679380827,26/03/22,14
P42146558,W66129028,20/01/21,12
P13472415,W434060006,04/02/22,96
P77413845,W58980624,29/06/20,73
P13972659,W51224154,23/12/20,4
P15402604,W437420090,30/04/22,59
P83389401,W10812524,20/11/22,43
