product_id,supplier_id,product_cost,quantity
P31796113,SUP113427036,153.46,45
P56729689,SUP265269126,174.63,63
P60375192,SUP131406229,196.04,75
P38683780,SUP243659080,221.2,21
P59867097,SUP795028826,220.65,36
P93464793,SUP241058304,642.34,76
P98612339,SUP316833253,29.27,28
P76303988,SUP656913471,41.36,43
P34927127,SUP122284583,112.2,33
P69905259,SUP183296109,506.33,45
P32383673,SUP320400027,123.91,36
P63569529,SUP186921538,113.58,87
P77711784,SUP679090552,194.04,49
P10458194,SUP311982157,37.71,58
P62536520,SUP141435801,133.61,94
P59416778,SUP488169079,81.94,71
P21857128,SUP695839034,198.36,31
P71686912,SUP476888678,3.11,96
P74774577,SUP154356472,32.41,33
P11549408,SUP284008125,188.88,46
P23115354,SUP303200139,7.58,45
P21669181,SUP335813809,115.89,54
P80579957,SUP102667751,25.16,68
P90503710,SUP155467998,31.13,57
P82479977,SUP795028826,79.23,86
P21857128,SUP226432649,176.49,13
P55206620,SUP129209784,9.89,72
P36329652,SUP114427716,25.25,25
P77923787,SUP159126633,629.8,71
P58474530,SUP232333075,19.41,32
P20154366,SUP251725474,25.04,41
P47172400,SUP113427036,61.86,32
P60375192,SUP125198230,198.31,78
P67275057,SUP144153284,77.93,85
P94668096,SUP136665271,103.81,63
P83352663,SUP679090552,202.15,92
P41388769,SUP293926685,183.79,67
P62685206,SUP204457471,58.77,25
P61141902,SUP222889906,115.61,53
P59757555,SUP218950278,72.88,19
P36928752,SUP316833253,89.73,68
P86673349,SUP258163777,192.01,17
P48296294,SUP260054113,476.06,72
P65983555,SUP131299122,29.62,29
P95573042,SUP112426010,105.37,27
P36329652,SUP185486546,28.81,47
P77216116,SUP424904370,199.25,40
P99996011,SUP290451107,290.11,43
P18722193,SUP134982297,55.28,58
P38753116,SUP226905544,280.22,68
P92803982,SUP195184466,6.95,100
P85664224,SUP129224270,232.68,85
P34297538,SUP259205684,140.48,86
P67803963,SUP267200255,6.67,37
P94622945,SUP311982157,102.37,59
P62423978,SUP272155500,131.46,37
P59867097,SUP290451107,187.38,53
P83352663,SUP151971428,246,16
P79675714,SUP272769681,37.86,83
P30536604,SUP107618171,39.99,81
P37952537,SUP243659080,294.28,85
P70205893,SUP283070800,46.35,55
P16785909,SUP695839034,231.19,41
P16916593,SUP246730485,187.33,94
P81392925,SUP581298570,237.64,67
P69882716,SUP339148131,249.37,28
P52957471,SUP178275560,87.58,97
P81774707,SUP131798677,95.16,82
P49751701,SUP242348575,184.34,17
P54713302,SUP131798677,195.56,99
P63223251,SUP185486546,255.4,50
P15957424,SUP293926685,15.45,51
P31286465,SUP294192046,162.99,48
P50833741,SUP195184466,5.22,32
P44807534,SUP200579943,255.28,36
P71694575,SUP760221969,269.85,13
P63569529,SUP224698208,113.87,43
P22906576,SUP114427716,754.18,35
P86402575,SUP820077324,13.88,56
P26262802,SUP695839034,158.22,73
P36735621,SUP226432649,22.1,74
P13981213,SUP173547559,49,80
P19935373,SUP133509984,78.17,26
P49267362,SUP172597346,71.23,52
P62536520,SUP258163777,140.41,45
P52957471,SUP203374023,88.44,47
P69461901,SUP264619357,110.52,93
P99996011,SUP130095879,308.55,69
P92929889,SUP201639405,86.65,26
P83414248,SUP290964838,178.09,73
P40447819,SUP201639405,15.31,68
P92965614,SUP160985008,80.65,35
P56508579,SUP132825464,108.41,90
P16214409,SUP293268870,41.58,41
P14375300,SUP191864249,95.81,99
P15957424,SUP226905544,18.65,80
P66191469,SUP256273530,285.83,78
P24518204,SUP275620523,563.11,38
P53696947,SUP159432385,195.1,97
P13508452,SUP260054113,225.09,30
