order_id,order_status,check_out_date,payment_method,payment_status,payment_date
ORD3007272733,Shipped,2021.5.23,Bank Transfer,Payment Successful,2021.5.28
ORD1793324990,Shipped,2022.12.29,Debit Card,Payment Successful,2022.12.31
ORD9359591862,Pending,2022.7.6,Google Pay,Pending Payment,2022.7.9
ORD9937715835,Confirmed,2021.6.23,Google Pay,Payment Successful,2021.6.24
ORD0158153054,Shipped,2023.1.17,PayPal,Payment Successful,2023.1.17
ORD5630371228,Refunding,2020.6.10,Apple Pay,Refund Processing,2020.6.10
ORD7545052516,Pending,2022.3.7,PayPal,Pending Payment,2022.3.9
ORD4678009002,Problem,2023.9.2,Google Pay,Refund Failed,2023.9.5
ORD4049752310,Pending,2020.6.10,Google Pay,Pending Payment,2020.6.16
ORD3566381873,Completed,2019.6.23,PayPal,Payment Successful,2019.6.24
ORD8104601740,Completed,2020.12.27,Bank Transfer,Payment Successful,2020.12.30
ORD1601988270,Pending,2023.12.25,Credit Card,Pending Payment,2023.12.28
ORD6282751097,Problem,2019.4.8,Bank Transfer,Refund Failed,2019.4.9
ORD8682059844,Refunded,2021.1.14,PayPal,Refund Successful,2021.1.16
ORD0341392452,Processing,2021.10.30,Debit Card,Payment Successful,2021.11.2
ORD8855077731,Confirmed,2020.5.25,Debit Card,Partial Payment,2020.5.31
ORD0312814703,Refunding,2022.4.9,Apple Pay,Refund Processing,2022.4.16
ORD7909548832,Refunded,2023.9.14,Debit Card,Refund Successful,2023.9.18
ORD9242038992,Refunded,2024.2.5,PayPal,Refund Successful,2024.2.8
ORD1617022582,Cancelled,2023.5.2,Apple Pay,Payment Cancelled,2023.5.9
ORD5590930529,Refunding,2019.12.19,PayPal,Refund Processing,2019.12.21
ORD1441771887,Confirmed,2023.6.12,Credit Card,Payment Successful,2023.6.15
ORD2262735288,Cancelled,2020.3.6,Credit Card,Payment Cancelled,2020.3.9
ORD7791866913,Completed,2022.8.12,Google Pay,Payment Successful,2022.8.19
ORD1883694980,Pending,2021.7.6,Google Pay,Pending Payment,2021.7.8
ORD4164026020,Problem,2022.4.8,Credit Card,Refund Failed,2022.4.12
ORD2096595042,Cancelled,2019.8.4,PayPal,Payment Cancelled,2019.8.11
ORD5427894157,Problem,2021.10.26,Debit Card,Payment Failed,2021.10.29
ORD9664865588,Pending,2021.1.22,Credit Card,Pending Payment,2021.1.22
ORD7877046943,Shipped,2022.6.19,PayPal,Payment Successful,2022.6.23
ORD4609905144,Completed,2019.4.18,Debit Card,Payment Successful,2019.4.24
ORD1614388374,Confirmed,2021.5.27,Google Pay,Payment Successful,2021.5.30
ORD0812856671,Confirmed,2021.7.7,Credit Card,Partial Payment,2021.7.10
ORD9807669296,Completed,2020.2.23,Credit Card,Payment Successful,2020.2.28
ORD0830923572,Shipped,2023.9.11,Bank Transfer,Payment Successful,2023.9.12
ORD2658400852,Completed,2020.11.11,Google Pay,Payment Successful,2020.11.18
ORD8784734140,Shipped,2023.9.30,Apple Pay,Payment Successful,2023.10.5
ORD5213488605,Processing,2020.7.14,Apple Pay,Payment Successful,2020.7.14
ORD4464184022,Completed,2024.1.24,Debit Card,Payment Successful,2024.1.30
ORD2903522818,Pending,2019.8.3,Google Pay,Pending Payment,2019.8.8
ORD6661863278,Cancelled,2019.7.11,Debit Card,Payment Cancelled,2019.7.18
ORD7724999060,Shipped,2023.9.23,PayPal,Payment Successful,2023.9.29
ORD8579025934,Pending,2020.9.29,Bank Transfer,Pending Payment,2020.10.5
