product_id,warehouse_id,store_date,store_quantity
P73777011,W524103025,30/11/22,62
P10668278,W42254220,22/06/22,22
P32383673,W10812350,27/04/22,98
P50833741,W21130533,04/06/22,87
P69461901,W42254220,25/03/21,24
P51502320,W58194013,30/01/21,37
P77711784,W76125784,30/09/21,99
P92803982,W03786231,10/02/20,36
P47165693,W00935712,19/07/20,45
P45406149,W10812524,21/02/20,59
P58591848,W58194013,07/03/20,48
P61839389,W524103025,10/11/21,77
P75862291,W437420090,30/07/21,4
P47948162,W00935712,01/04/21,63
P89314961,W437420090,11/10/22,16
P76573321,W02680815,09/11/22,62
P49439033,W41190210,03/05/20,23
P18722193,W49483272,14/08/21,32
P21268228,W58194013,09/01/22,23
P99996011,W636293326,14/02/20,69
P33719577,W548685918,31/03/20,76
P81774707,W49483272,14/10/21,97
P92881101,W39765004,28/08/21,54
P15402604,W66129028,06/05/20,83
P99335403,W575200434,28/10/22,58
P62685206,W06151311,18/04/22,16
P87978600,W551547553,17/08/21,44
P48853418,W636293326,16/01/22,10
P58591848,W39765004,13/05/21,59
P61839389,W06151311,21/08/21,8
P26262802,W65643334,19/07/22,63
P90375591,W545693807,20/06/22,20
P52756652,W52959965,11/03/20,18
P61839389,W00935712,21/03/20,38
P13569922,W545693807,14/02/22,31
P31286465,W10812524,25/05/22,34
P26826691,W66129028,14/06/22,49
P64131670,W41190210,23/09/22,59
P40373788,W49997356,26/09/20,91
P92909603,W369872259,16/05/20,76
P77923787,W575200434,03/11/21,77
P32339443,W42254220,19/09/21,28
P40291035,W06151311,05/12/22,50
P65451355,W548685918,04/03/20,28
P79675714,W36800532,14/06/21,44
P78367641,W49483272,16/08/20,7
P31652354,W551547553,15/04/22,93
P49965352,W58980624,24/08/21,74
P13972659,W545693807,26/11/20,72
P43586219,W02680815,19/06/22,76
P82906066,W118220500,16/05/21,46
P74774577,W524103025,17/10/20,32
P85472117,W551544739,12/01/22,85
P36992527,W36800532,08/04/22,95
P58976509,W43419857,07/07/22,58
P99842537,W551547553,29/12/21,19
P78537269,W58980624,09/03/20,88
P70867799,W551547553,18/05/21,73
P15957424,W438570145,22/10/22,8
P58474530,W37000840,04/06/22,98
P20734556,W10812350,24/02/22,90
P56993765,W39765004,04/05/22,93
P69127521,W437420069,08/01/21,41
P80579957,W64764251,31/12/22,42
P45507004,W42254220,24/03/21,39
P36735621,W636293326,06/06/22,23
P53649623,W68462162,28/08/22,27
P89611215,W679380827,30/11/20,4
P36846102,W52959965,10/08/22,34
P74774577,W575200434,15/12/22,26
P40373788,W58194013,09/09/21,47
P71686912,W13537308,27/09/20,64
P15397235,W65643334,25/07/20,65
P20154366,W68462162,11/03/21,71
P99842537,W10812350,25/05/22,17
P56656400,W49483272,27/09/22,95
P92146041,W545693807,23/08/21,43
P19935373,W434060006,21/01/21,36
P85381374,W41190210,27/12/22,100
P11759622,W545693807,13/01/22,38
P89142641,W551544728,18/07/21,84
P47109983,W37000709,02/03/22,60
P34701889,W434060006,11/01/22,17
P56729689,W21695911,15/04/22,64
P45507004,W548685918,06/06/21,59
P49292258,W489517039,08/08/21,26
P86673349,W06151311,12/09/20,81
P81111129,W434060006,19/06/22,32
P16547344,W52959965,28/03/20,90
P29795820,W434060006,11/01/20,71
P13472415,W679380827,08/08/21,69
P86518936,W489517039,07/04/21,29
P12478111,W65162770,30/11/21,88
P77815560,W10812350,21/04/22,21
P66314818,W76398001,15/11/21,48
P61839389,W66129028,06/10/20,85
P57533522,W489513139,13/03/22,37
P82942731,W21695911,29/08/20,11
P37668288,W434060006,16/02/22,58
P92792924,W51224154,23/12/22,96
P49751701,W41190210,20/06/20,87
P62744404,W551544739,08/06/20,11
P32219071,W06151311,12/04/21,87
P32383673,W21695911,17/07/22,100
P89896259,W10812524,10/01/22,22
P36837066,W39765004,30/12/20,92
P44114070,W76398001,13/08/21,17
P47109983,W21130533,13/04/22,79
P72391139,W52959965,30/08/20,34
P33822408,W118220500,18/06/21,97
P41232863,W13537308,03/03/22,73
P44807534,W37000840,08/09/22,35
P56426674,W58980624,21/04/20,4
P98273360,W49483272,31/03/21,41
P51338421,W02680815,27/02/22,75
P32662825,W10812524,22/09/21,83
P48296294,W58194013,17/02/20,41
P11732301,W66129028,26/08/22,42
P44116414,W13537308,26/04/21,16
P74822795,W10812524,14/04/20,13
P65983555,W65643334,26/11/21,24
P13868012,W21130533,03/04/21,86
P83389401,W58194013,30/05/21,77
P45626479,W575200434,18/04/22,47
P66719343,W548685918,10/06/22,4
P36308399,W58980624,18/05/20,72
P76459907,W41190210,25/04/21,10
P99789809,W76125784,22/04/22,37
P85472117,W39765004,06/09/20,18
P47172400,W524103025,25/11/20,78
P28441437,W43419857,24/09/21,22
P62685206,W02680815,13/07/20,93
P65741732,W551544739,17/12/22,19
P22152660,W03786231,14/09/22,83
P30536604,W43419857,08/01/20,50
P83352663,W66129028,14/09/20,38
P10107240,W636293326,26/09/21,40
P17909696,W551544739,18/09/20,7
P23885151,W49483272,21/08/21,95
P92792924,W21695911,16/07/22,36
P22747490,W437420069,24/07/20,12
P44423881,W76125784,17/07/20,10
P36329652,W43419857,03/04/21,60
P75588213,W68462162,14/12/22,10
P99842537,W437420090,22/01/22,79
P76303988,W679380827,01/02/21,74
P21857128,W06151311,28/03/22,93
P49439033,W10812524,24/02/22,75
P53649623,W636293326,21/10/21,44
P45507004,W58980624,12/12/20,61
P62685206,W36800532,01/11/21,54
P38341000,W58194013,24/02/20,66
P39826195,W37000840,25/05/22,33
P16547344,W489517039,03/12/22,21
P18279428,W489512048,09/05/22,19
P25517310,W66129028,20/07/22,79
P78289944,W37000840,18/06/21,45
P41232863,W21130533,12/07/20,6
P94875199,W76125784,04/04/21,67
P67275057,W21695911,29/07/21,90
P12852966,W21130533,24/09/22,36
P49751701,W551547553,13/12/21,74
P81375409,W524103025,20/12/20,67
P85235702,W36800532,14/04/21,4
P18539192,W58980624,04/12/20,38
P28441437,W437420069,18/07/20,79
P74742032,W545693807,19/09/22,39
P46102483,W21695911,14/09/20,66
P92881101,W58980624,11/06/22,88
P10499890,W49967790,04/02/22,13
P66191469,W76398001,25/10/22,63
P32527331,W548685918,13/04/21,95
P75953482,W524103025,23/04/21,24
P19729934,W52959965,03/09/21,70
P75953482,W10812350,15/01/22,66
P13981213,W36800532,17/12/22,30
P59897514,W36800532,16/10/20,12
P32873674,W437420069,10/04/21,90
P89555698,W58194013,02/05/21,41
P34169033,W00935712,24/03/22,59
P11759622,W49997356,13/08/21,44
P87409930,W13537308,16/11/20,2
P21857128,W49967790,09/01/20,60
P91404938,W42254220,16/05/22,43
P18722193,W679380827,07/10/20,41
P34169033,W21695911,03/10/21,56
P45199205,W51224154,25/06/22,76
P93464793,W41190210,08/12/21,65
P13867118,W369872259,29/11/22,27
P55724094,W13537308,16/10/22,34
P34432938,W548685918,18/01/20,50
P72391139,W06151311,07/08/22,39
P11281448,W76125784,01/02/21,28
P87409829,W369872259,20/08/22,69
P64927743,W66129028,13/12/20,47
P29264607,W434060006,07/03/20,29
P54232862,W00935712,27/05/22,54
P23854089,W00935712,17/01/21,21
P29518596,W37000709,30/05/20,69
P23969997,W02680815,13/08/21,12
