Supplier_id,Supplier_name,Supplier_street,Supplier_city,Supplier_country,Supplier_postcode,Supplier_phoneno,supplier_email,Category
SUP170232323,Stone Inc,462 Arnold Camp,Katelynberg,Gambia,5021,431-513-4651,hansenanthony@example.net,Books
SUP170122223,Wilson Inc,870 Marcia Run,Douglasfort,Denmark,32821,146-880-7578,odiaz@example.com,Footwear
SUP256273530,"Santiago, Nguyen and Smith",1831 Miller Knolls Suite 133,Lopezberg,New Zealand,32410,688-323-2395,scole@example.net,Clothing
SUP160985008,Miller PLC,9157 Drake Plains,East Barbara,Tonga,93180,723-332-0306,singletoncheryl@example.org,Toys
SUP155467998,Brady Inc,41212 Patel Flats,North Brendaland,Chad,98359,833-128-6842,amanda56@example.com,Books
SUP136665271,Patrick PLC,38753 Dean Ville Suite 635,Port Timothy,Trinidad and Tobago,59046,610-702-0943,stevenmann@example.org,Books
SUP488169079,Gomez-Pierce,86755 Erin Viaduct,Thompsonland,Taiwan,84567,746-355-2424,ihenry@example.com,Clothing
SUP330356313,Gallagher-Nelson,7079 Lance Track Apt. 075,Castillostad,Romania,6841,671-697-6912,marksantos@example.org,Clothing
SUP359315989,Weaver and Sons,252 Vasquez Key,New Stephanieport,Bangladesh,23293,646-637-4353,kacosta@example.com,Toys
SUP293268870,Curry Inc,64060 Chase Glen,Ginaburgh,Sudan,35876,939-231-3883,washingtonshelby@example.net,Footwear
SUP191864249,Mills-Lewis,17618 Kent Course Suite 951,Pacemouth,Burkina Faso,54661,129-306-3836,xward@example.org,Toys
SUP159432385,Cruz-Williams,79181 William Avenue Suite 589,Tuckermouth,New Zealand,65167,844-932-4597,nmunoz@example.com,Clothing
SUP198078780,"Sanders, Mitchell and Ball",687 Gordon Alley Suite 647,North Tammyland,Moldova,51088,813-603-8752,mooredavid@example.net,Toys
SUP226905544,Smith-Norris,070 Marie Union Suite 326,Shirleybury,Bulgaria,62213,762-948-5800,jodi61@example.net,Clothing
SUP303365953,"Obrien, Wright and Thomas",73309 Shelly Bypass Apt. 669,Jasonview,Israel,76611,498-864-8440,clarkalicia@example.org,Books
SUP711474158,"Smith, Ayala and Hernandez",211 Hughes Junctions,New Frank,Zambia,7219,534-806-9316,bowmanjames@example.net,Toys
SUP183296109,Thompson-Allen,56137 Jacob Club Apt. 011,Port Gerald,Somalia,36997,206-636-2403,abigail81@example.net,Electronics
SUP120465025,"Mclaughlin, Bauer and Paul",693 Denise Dale Suite 403,Josephchester,Serbia,77427,276-130-3914,pgreen@example.net,Books
SUP247151522,"Martinez, Mcbride and Hamilton",267 Reese Highway,Sanchezbury,Burkina Faso,40131,399-691-9185,salasthomas@example.org,Electronics
SUP322365865,Smith-Harris,81831 Jessica Bypass Suite 858,Nicolehaven,Kenya,58198,436-782-4289,amartin@example.net,Clothing
SUP260909455,Ray-Fisher,9107 Farley Lodge,South William,Grenada,99203,673-416-3403,jacksonashley@example.com,Electronics
SUP283355172,Evans-Irwin,4609 Jade Ways Suite 858,Rodriguezberg,Malta,69007,901-338-3211,russell92@example.org,Footwear
SUP131406229,"Fisher, Smith and Miller",4522 John Gateway,Brittneyland,Serbia,87772,918-653-9647,michelle46@example.org,Clothing
SUP251586871,Lopez-Valenzuela,85300 Mayo Light Apt. 103,Christopherville,Brunei Darussalam,36613,802-587-5662,jcasey@example.net,Electronics
SUP159407557,Estrada LLC,29281 Larson Junction Suite 206,Lake George,Antarctica (the territory South of 60 deg S),13298,421-111-9681,robertlane@example.com,Clothing
SUP113427036,Moore-Wilson,0240 Watson Crossroad,Johnside,Mali,60929,358-766-6937,ayoung@example.net,Footwear
SUP133509984,Richardson-Andrews,28999 Crystal Street,Huffmanton,Serbia,82368,263-141-8192,smithtracy@example.org,Electronics
SUP270987025,"Ramos, Hunter and Reyes",94549 Javier Ways,South Stephenfort,Uganda,91760,930-492-0720,jade59@example.com,Electronics
